county,combined_rate_pub718,mctd,county_rate,reporting_code,note,source
SCHUYLER,8.0,FALSE,4,4411,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
SENECA,8.0,FALSE,4,4511,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
STEUBEN,8.0,FALSE,4,4691,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
SUFFOLK,8.75,TRUE,4.375,4711,"combined rate less 4% state less 3/8% MCTD",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
SULLIVAN,8.0,FALSE,4,4821,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
TIOGA,8.0,FALSE,4,4921,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
TOMPKINS,8.0,FALSE,4,5081,"combined rate less 4% state; county row 'except' its taxing city or cities, whose combined rate is the same",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
ULSTER,8.0,FALSE,4,5111,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
WARREN,7.0,FALSE,3,5281,"combined rate less 4% state; county row 'except' its taxing city or cities, whose combined rate is the same",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
WASHINGTON,7.0,FALSE,3,5311,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
WAYNE,8.0,FALSE,4,5421,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
WESTCHESTER,8.375,TRUE,4,5581,"combined rate less 4% state less 3/8% MCTD; county row 'except' its taxing city or cities, whose combined rate is the same",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
WYOMING,8.0,FALSE,4,5621,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
YATES,8.0,FALSE,4,5721,"combined rate less 4% state",https://www.tax.ny.gov/pdf/publications/sales/pub718.pdf
